model label	region	model fold	sequence length	val spearman	test spearman
BiLSTM	upstream	1	25	0.8296129440255705	0.8591405889035247
BiLSTM	upstream	2	25	0.8531761019232081	0.8592612477888084
BiLSTM	upstream	3	25	0.857577488556899	0.8592619979397619
BiLSTM	upstream	4	25	0.8620096971946241	0.8595112206013951
BiLSTM	upstream	5	25	0.850942570946842	0.8582359411965615
BiLSTM	upstream	6	25	0.8584677912487083	0.8601931583278636
BiLSTM	upstream	7	25	0.8569512192101079	0.8576974589782858
BiLSTM	upstream	8	25	0.8279947671736793	0.8583587758164258
BiLSTM	upstream	9	25	0.8625351823369236	0.8583753621253382
BiLSTM	upstream	10	25	0.8483247137298454	0.8580987253205051
BiLSTM	upstream	1	26	0.8286001454983559	0.8587074025381108
BiLSTM	upstream	2	26	0.8526023088519519	0.8597132325049809
BiLSTM	upstream	3	26	0.8576507950361626	0.8588769333999086
BiLSTM	upstream	4	26	0.8648918537326273	0.8613635152197899
BiLSTM	upstream	5	26	0.853165136520447	0.8587207359983391
BiLSTM	upstream	6	26	0.8569432534739944	0.8598017973360066
BiLSTM	upstream	7	26	0.8552399824730789	0.8583723545646392
BiLSTM	upstream	8	26	0.8301835575652917	0.8593973076614707
BiLSTM	upstream	9	26	0.8640127970631601	0.8596599536310944
BiLSTM	upstream	10	26	0.8451398049099033	0.8559932086228402
BiLSTM	upstream	1	27	0.8309583001178866	0.8592201892258814
BiLSTM	upstream	2	27	0.8548235110143609	0.8605728485570555
BiLSTM	upstream	3	27	0.8590607887576669	0.8576931868793727
BiLSTM	upstream	4	27	0.8644810715005279	0.8589689976522518
BiLSTM	upstream	5	27	0.8522215249970901	0.8591700271555892
BiLSTM	upstream	6	27	0.8563105987638857	0.8582309232194227
BiLSTM	upstream	7	27	0.8577156587565945	0.8594070357756319
BiLSTM	upstream	8	27	0.8321124391518727	0.8585078668116928
BiLSTM	upstream	9	27	0.8655162351613851	0.8608618094411178
BiLSTM	upstream	10	27	0.8476518321074488	0.8608199432880603
BiLSTM	upstream	1	28	0.8315308707479309	0.8599256058295335
BiLSTM	upstream	2	28	0.8556717343233768	0.8602802769069934
BiLSTM	upstream	3	28	0.8602079018147099	0.8613472848127682
BiLSTM	upstream	4	28	0.8637614850444684	0.8604448584972262
BiLSTM	upstream	5	28	0.8530472351315734	0.8600787061978463
BiLSTM	upstream	6	28	0.8577087603398693	0.8611123149092261
BiLSTM	upstream	7	28	0.8576921353169835	0.8588468552606658
BiLSTM	upstream	8	28	0.8318416286469043	0.8593500178520214
BiLSTM	upstream	9	28	0.8636391881064309	0.8596236895664804
BiLSTM	upstream	10	28	0.8480871797412752	0.8614752316456168
