category,pearson,data1_ratio,data2_ratio,Data Count,category1,new category,Apearson,Adata1_ratio,Adata2_ratio
35:44D-10,0.85297138138404,0.00166563241899701,0.00160003913159228,79964,D-10,34:43D-10,0.712226169673008,0.00898332648776886,0.00882655701738405
36:45D-10,0.746195558950242,0.00176626488407031,0.00172101790102512,79964,D-10,34:43D-10,0.712226169673008,0.00898332648776886,0.00882655701738405
37:46D-10,0.605909337244323,0.00180914461865603,0.00178501926970749,79964,D-10,34:43D-10,0.712226169673008,0.00898332648776886,0.00882655701738405
38:47D-10,0.281863215131427,0.00229583321157037,0.00230763961136585,79964,D-10,34:43D-10,0.712226169673008,0.00898332648776886,0.00882655701738405
39:48D-10,0.0647360117652866,0.000137240627418499,0.000140684517752577,79964,D-10,34:43D-10,0.712226169673008,0.00898332648776886,0.00882655701738405
40:49D-10,0.0396703819880254,2.76927555550015e-05,2.2579683383169e-05,79964,D-10,34:43D-10,0.712226169673008,0.00898332648776886,0.00882655701738405
24:34D-11,0.751626162418679,0.000145488843411188,0.000148926906867494,79964,D-11,26:36D-11,0.814760807560138,0.00222389954409398,0.00221381647422104
25:35D-11,0.782972447151954,0.000515781173311974,0.000514300561728732,79964,D-11,26:36D-11,0.814760807560138,0.00222389954409398,0.00221381647422104
26:36D-11,0.830419228449951,0.00156262952737083,0.00155058900562482,79964,D-11,26:36D-11,0.814760807560138,0.00222389954409398,0.00221381647422104
27:37D-11,0.86003490262574,0.00402618655748067,0.00391117754766004,79964,27:37D-11,27:37D-11,0.86003490262574,0.00402618655748067,0.00391117754766004
28:38D-11,0.81710801732657,0.00157421625454436,0.00148104577360969,79964,28:38D-11,28:38D-11,0.81710801732657,0.00157421625454436,0.00148104577360969
29:39D-11,0.801860341115636,0.000997533470525643,0.000953190844399886,79964,29:39D-11,29:39D-11,0.801860341115636,0.000997533470525643,0.000953190844399886
30:40D-11,0.780251060891636,0.000773670480196179,0.000738942587278564,79964,30:40D-11,30:40D-11,0.780251060891636,0.000773670480196179,0.000738942587278564
31:41D-11,0.824854463900239,0.000904879278996134,0.000841396401222711,79964,31:41D-11,31:41D-11,0.824854463900239,0.000904879278996134,0.000841396401222711
32:42D-11,0.862205046675623,0.00093462954828447,0.000901690718601215,79964,32:42D-11,32:42D-11,0.862205046675623,0.00093462954828447,0.000901690718601215
33:43D-11,0.847331274929366,0.00100177168134563,0.000987411947620845,79964,D-11,33:43D-11,0.726847132455164,0.00841599711103123,0.00827360359437589
34:44D-11,0.849774349119813,0.00112205572044058,0.00108342082317532,79964,D-11,33:43D-11,0.726847132455164,0.00841599711103123,0.00827360359437589
35:45D-11,0.826960917899778,0.00140386893991242,0.0013341951092204,79964,D-11,33:43D-11,0.726847132455164,0.00841599711103123,0.00827360359437589
36:46D-11,0.737701891504507,0.00162852681973431,0.0015814405718326,79964,D-11,33:43D-11,0.726847132455164,0.00841599711103123,0.00827360359437589
37:47D-11,0.543173703438914,0.00149806003579184,0.00149835531191566,79964,D-11,33:43D-11,0.726847132455164,0.00841599711103123,0.00827360359437589
38:48D-11,0.230431992561221,0.00163412463666731,0.00165856694509687,79964,D-11,33:43D-11,0.726847132455164,0.00841599711103123,0.00827360359437589
39:49D-11,0.0433032618103636,0.000109108616518705,0.000111721286575607,79964,D-11,33:43D-11,0.726847132455164,0.00841599711103123,0.00827360359437589
40:50D-11,0.0690797016163046,1.84806606205751e-05,1.84915989388059e-05,79964,D-11,33:43D-11,0.726847132455164,0.00841599711103123,0.00827360359437589
23:34D-12,0.857742033398758,0.000160779247993872,0.000165790555860687,79964,D-12,25:36D-12,0.855029002567567,0.00213984871039006,0.00212460568155098
24:35D-12,0.881073547768332,0.000529784767566129,0.000527694716309295,79964,D-12,25:36D-12,0.855029002567567,0.00213984871039006,0.00212460568155098
25:36D-12,0.846137852467868,0.00144928469483007,0.00143112040938098,79964,D-12,25:36D-12,0.855029002567567,0.00213984871039006,0.00212460568155098
26:37D-12,0.864725404770598,0.00349070954681439,0.00338733508169663,79964,26:37D-12,26:37D-12,0.864725404770598,0.00349070954681439,0.00338733508169663
27:38D-12,0.85953269284203,0.00189766366389296,0.00181336163189891,79964,27:38D-12,27:38D-12,0.85953269284203,0.00189766366389296,0.00181336163189891
28:39D-12,0.820573224404595,0.00112028647563865,0.00109952657534881,79964,28:39D-12,28:39D-12,0.820573224404595,0.00112028647563865,0.00109952657534881
29:40D-12,0.840790688160818,0.000885307250824149,0.00086935429464143,79964,29:40D-12,29:40D-12,0.840790688160818,0.000885307250824149,0.00086935429464143
30:41D-12,0.871183766662833,0.00101726710055479,0.000972844465465784,79964,30:41D-12,30:41D-12,0.871183766662833,0.00101726710055479,0.000972844465465784
31:42D-12,0.837532392887747,0.0011243518997474,0.00108162970462183,79964,31:42D-12,31:42D-12,0.837532392887747,0.0011243518997474,0.00108162970462183
32:43D-12,0.853146964849716,0.00101856877704568,0.000995271653206714,79964,32:43D-12,32:43D-12,0.853146964849716,0.00101856877704568,0.000995271653206714
33:44D-12,0.882058454290258,0.00118537706500953,0.00115139794951065,79964,D-12,33:44D-12,0.745275855960944,0.00813117830732447,0.00796357187047434
34:45D-12,0.823587719694208,0.00116233816286913,0.00111522774433876,79964,D-12,33:44D-12,0.745275855960944,0.00813117830732447,0.00796357187047434
35:46D-12,0.807419762267707,0.00143501055446964,0.00139230123654535,79964,D-12,33:44D-12,0.745275855960944,0.00813117830732447,0.00796357187047434
36:47D-12,0.734399485592284,0.0015304535777975,0.00148426488692691,79964,D-12,33:44D-12,0.745275855960944,0.00813117830732447,0.00796357187047434
37:48D-12,0.572193965496101,0.00137915054806534,0.00134096102852652,79964,D-12,33:44D-12,0.745275855960944,0.00813117830732447,0.00796357187047434
38:49D-12,0.214237816823186,0.00133456751956736,0.00136765029362356,79964,D-12,33:44D-12,0.745275855960944,0.00813117830732447,0.00796357187047434
39:50D-12,0.0345423149169155,9.28951719363336e-05,9.71837073866906e-05,79964,D-12,33:44D-12,0.745275855960944,0.00813117830732447,0.00796357187047434
40:51D-12,0.00235713309468004,1.13857076098028e-05,1.45850236160434e-05,79964,D-12,33:44D-12,0.745275855960944,0.00813117830732447,0.00796357187047434
22:34D-13,0.521218263031778,9.59825635368167e-05,9.10805966692529e-05,79964,D-13,24:36D-13,0.742027388380927,0.00146876105395486,0.00143474739730472
23:35D-13,0.695271648212789,0.000329554986041851,0.000312147917778778,79964,D-13,24:36D-13,0.742027388380927,0.00146876105395486,0.00143474739730472
24:36D-13,0.76921179103526,0.0010432235043762,0.00103151888285669,79964,D-13,24:36D-13,0.742027388380927,0.00146876105395486,0.00143474739730472
25:37D-13,0.802040267955744,0.00231456619234889,0.0022786504287981,79964,25:37D-13,25:37D-13,0.802040267955744,0.00231456619234889,0.0022786504287981
26:38D-13,0.825239720579076,0.00132616625478213,0.00125216208817448,79964,26:38D-13,26:38D-13,0.825239720579076,0.00132616625478213,0.00125216208817448
27:39D-13,0.746907606121455,0.000872751141986436,0.000828063448866675,79964,D-13,27:39D-13,0.734714966935498,0.00149759019763356,0.00143998841694614
28:40D-13,0.72368430429846,0.000624839055647129,0.000611924968079461,79964,D-13,27:39D-13,0.734714966935498,0.00149759019763356,0.00143998841694614
